Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
net.zypr.api.vo.ShopPriceVO,java.beans.PropertyChangeSupport,1,0,0,0,0,0,0,0,0,0,0,[  ],1,[  firePropertyChange ]
net.zypr.api.Session,java.beans.PropertyChangeSupport,1,0,0,0,0,0,1,1,0,0,0,[  ],3,[  firePropertyChange addPropertyChangeListener removePropertyChangeListener ]
net.zypr.api.vo.VoiceCommandVO,net.zypr.api.exceptions.APIProtocolException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.ReviewVO,net.zypr.api.utils.DateUtils,0,0,0,0,0,0,0,0,0,0,2,[  parseISO8601String getISO8601String ],0,[  ]
net.zypr.api.vo.VoiceCommandVariableVO,java.beans.PropertyChangeSupport,1,0,0,0,0,0,0,0,0,0,0,[  ],1,[  firePropertyChange ]
net.zypr.api.Session,net.zypr.api.bgprocesses.FriendListUpdater,0,0,0,0,0,0,1,0,1,0,0,[  ],2,[  getName start ]
net.zypr.api.Protocol,java.net.URLEncoder,1,0,0,0,0,0,0,0,0,0,1,[  encode ],0,[  ]
net.zypr.api.Contact,org.apache.http.conn.scheme.SocketFactory,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.Map,net.zypr.api.exceptions.APIServerErrorException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.POI,net.zypr.api.Protocol,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.ContextDataVO,net.zypr.api.vo.GenericVO,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.VoiceCommandVariableVO,net.zypr.api.vo.PhoneNumberVO,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.InfoPOITypeVO,net.zypr.api.utils.Debug,0,0,0,0,0,0,0,0,0,0,1,[  displayStack ],0,[  ]
net.zypr.api.Map,org.json.simple.JSONObject,1,0,0,1,0,0,0,0,1,1,0,[  ],1,[  get ]
net.zypr.api.vo.UniformResourceIdentifierVO,net.zypr.api.exceptions.APIProtocolException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.WeatherForecastVO,java.beans.PropertyChangeSupport,1,0,0,0,0,0,0,0,0,0,0,[  ],1,[  firePropertyChange ]
net.zypr.api.vo.SignageVO,java.beans.PropertyChangeSupport,1,0,0,0,0,0,0,0,0,0,0,[  ],1,[  firePropertyChange ]
net.zypr.api.bgprocesses.MessageRetriever,net.zypr.api.vo.ItemVO,0,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
net.zypr.api.vo.ImageVO,org.json.simple.JSONObject,1,0,0,1,1,0,1,0,1,0,0,[  ],2,[  get put ]
net.zypr.api.vo.InfoUserTypeVO,net.zypr.api.exceptions.APIProtocolException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.ShopPriceVO,org.json.simple.JSONObject,1,0,0,1,1,0,1,0,1,0,0,[  ],2,[  get put ]
net.zypr.api.vo.SocialServiceAccountVO,net.zypr.api.exceptions.APIProtocolException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.VoiceCommandDataVO,net.zypr.api.vo.GeoPointVO,0,0,0,1,1,1,0,1,0,0,0,[  ],1,[  toJSON ]
net.zypr.api.enums.PeriodOfTime,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
net.zypr.api.API,net.zypr.api.Media,0,0,0,1,0,0,1,1,0,0,0,[  ],0,[  ]
net.zypr.api.vo.ReviewVO,net.zypr.api.vo.GenericVO,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.VoiceCommandVO,net.zypr.api.utils.Debug,0,0,0,0,0,0,0,0,0,0,1,[  displayWarning ],0,[  ]
net.zypr.api.Social,org.apache.http.conn.scheme.SocketFactory,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.InfoCalendarItemTypeVO,net.zypr.api.utils.Debug,0,0,0,0,0,0,0,0,0,0,1,[  displayStack ],0,[  ]
net.zypr.api.vo.ServiceDetailsVO,net.zypr.api.vo.GenericVO,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.EMailAddressVO,net.zypr.api.exceptions.APIProtocolException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.Weather,net.zypr.api.exceptions.APIInvalidServiceException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
net.zypr.api.Session,net.zypr.api.User,0,0,0,0,0,0,0,0,1,0,0,[  ],1,[  favoriteList ]
