Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.mr.core.persistent.file.MantaFileManager,org.mr.core.util.byteable.ByteableOutputStream,0,0,0,0,0,0,1,0,1,0,0,[  ],3,[  release writeByteable getByteBuffer ]
org.mr.api.jms.selector.parser.SelectorLexer,org.mr.api.jms.selector.parser.SelectorTokenTypes,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.core.util.byteable.ByteableRegistry,org.mr.core.util.byteable.ByteableMap,0,0,0,0,0,0,0,0,0,0,1,[  register ],0,[  ]
org.mr.api.blocks.ScalableDispatcher,javax.jms.JMSException,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.mr.core.net.messages.NetworkMessage,java.net.SocketAddress,1,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
org.mr.core.util.byteable.ByteableRegistry,org.mr.kernel.services.ServiceProducer,0,0,0,0,0,0,0,0,0,0,1,[  register ],0,[  ]
org.mr.core.util.patterns.flow.MessageCondition,org.mr.api.jms.MantaMessage,0,0,0,0,0,0,0,0,1,1,0,[  ],1,[  getStringProperty ]
org.mr.api.simple.Subscriber$1,org.mr.api.simple.Message,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.mr.api.jms.MantaStreamMessage,org.mr.core.util.byteable.ByteableOutputStream,0,0,0,0,1,0,0,0,1,0,0,[  ],3,[  writeInt flush write ]
org.mr.api.jms.selector.syntax.Less,org.mr.api.jms.selector.syntax.MantaObject,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  less ]
org.mr.core.net.MantaSSLFactory,javax.net.SocketFactory,1,0,0,0,0,0,0,1,0,0,0,[  ],1,[  createSocket ]
org.mr.core.util.AbstractStage,org.apache.commons.logging.LogFactory,1,0,0,0,0,0,0,0,0,0,1,[  getLog ],0,[  ]
org.mr.core.util.byteable.ByteableRegistry,org.mr.kernel.control.ControlSignal,0,0,0,0,0,0,0,0,0,0,1,[  register ],0,[  ]
org.mr.kernel.world.WorldModelerLoader,java.net.InetAddress,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  getHostAddress ]
org.mr.core.net.TransportTable,org.mr.core.net.LocalTransport,0,0,0,1,1,0,0,0,1,1,0,[  ],1,[  getSocketAddress ]
org.mr.core.cmc.GetCurrentTimeJMX,org.apache.commons.logging.Log,1,0,0,0,0,0,0,1,0,0,0,[  ],0,[  ]
org.mr.core.util.xml.sax.QueueContentHandler$Comment,org.mr.core.util.xml.sax.QueueContentHandler$SaxLexicalEvent,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.api.jms.MantaConnectionFactoryFactory,javax.naming.Name,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.mr.api.jms.MantaQueueReceiver,org.mr.api.jms.MantaMessageConsumer,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.core.net.cmc.GetConnectionsJMX,org.mr.core.net.NetworkManager,0,0,0,0,0,0,0,0,1,0,0,[  ],1,[  getConnections ]
org.mr.core.util.byteable.ByteableList,org.mr.core.util.byteable.ByteableRegistry,0,0,0,0,0,0,0,0,0,0,1,[  registerByteableFactory ],0,[  ]
org.mr.kernel.services.queues.VirtualQueuesManager,org.mr.kernel.services.ServiceConsumer,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  getServiceName ]
org.mr.api.rmi.MantaRMIServer,java.rmi.registry.LocateRegistry,1,0,0,0,0,0,0,0,0,0,1,[  createRegistry ],0,[  ]
org.mr.core.net.CNLMessage,java.security.MessageDigest,1,0,0,1,0,0,0,0,1,0,1,[  getInstance ],2,[  digest update ]
org.mr.api.rmi.thin.ThinRMIJMSImpl,org.mr.kernel.services.MantaService,0,0,0,0,0,0,0,0,1,1,0,[  ],2,[  getServiceName getServiceType ]
org.mr.core.persistent.file.MantaFileManager,org.mr.core.persistent.PersistentConst,0,0,0,0,0,0,0,0,0,0,2,[  getPersistentDir getPersistentByteBufferPool ],0,[  ]
org.mr.api.rmi.thin.ThinRMIJMSImpl,javax.jms.Connection,1,0,0,0,0,0,0,1,0,0,0,[  ],2,[  start createSession ]
org.mr.api.jms.selector.parser.SelectorParser,org.mr.api.jms.selector.parser.SelectorAST,0,0,0,0,1,0,0,0,1,1,0,[  ],4,[  setReturnType getFirstChild setType getContext ]
org.mr.api.jms.selector.syntax.TypeCaster,org.mr.api.jms.selector.syntax.MantaNumber,0,0,0,1,0,0,0,0,1,1,0,[  ],0,[  ]
org.mr.core.cmc.CMCCommand,org.mr.core.cmc.CMCResponse,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.api.jms.MantaTemporaryQueue,javax.jms.Destination,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.kernel.services.queues.VirtualQueuesManager,org.mr.kernel.services.queues.QueueService,0,0,0,1,1,0,0,0,1,1,0,[  ],16,[  setQueueMaster waitForQueueMaster isOverflow getServiceName getSubscriberManager active amIQueueMaster getPersistentMode enqueue unregisterReceiverToQueue getQueueMaster getUnsentMessages isTempQueue close sendQueueCopy registerReceiverToQueue ]
org.mr.kernel.world.WorldModelerXMLUtils,org.mr.kernel.services.MantaService,0,0,0,0,0,0,0,0,1,1,0,[  ],3,[  getPersistentMode getServiceName getServiceType ]
org.mr.api.jms.selector.parser.SelectorLexer,antlr.CharScanner,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.core.net.MantaSSLFactory,javax.net.ssl.KeyManagerFactory,1,0,0,0,0,0,0,0,1,0,1,[  getInstance ],2,[  init getKeyManagers ]
org.mr.api.jms.selector.parser.SelectorTreeParser,org.mr.api.jms.selector.syntax.Context,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.mr.api.jms.MantaConnectionFactoryFactory,org.mr.api.jms.MantaQueueConnectionFactory,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.mr.kernel.IncomingClientMessageRouter,org.mr.IMessageListener,0,0,0,0,1,0,0,0,1,1,0,[  ],1,[  onMessage ]
org.mr.api.simple.Subscriber,org.mr.api.jms.MantaTopicConnectionFactory,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.mr.kernel.services.queues.RemoteQueueEnumeration,org.mr.kernel.services.ServiceConsumer,0,0,0,0,1,0,0,1,1,0,0,[  ],0,[  ]
org.mr.api.jms.MantaSession,org.mr.api.jms.MantaObjectMessage,0,0,0,0,0,0,1,0,1,0,0,[  ],1,[  setObject ]
org.mr.core.net.NetworkManager,org.mr.core.net.NetworkSelector,0,0,0,0,0,0,1,1,0,0,0,[  ],3,[  addTransportImpl start setListener ]
org.mr.core.util.xml.sax.QueueContentHandler$IgnorableWhitespace,org.mr.core.util.xml.sax.QueueContentHandler$SaxEvent,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.kernel.control.ControlSignalMessageConsumer,org.mr.core.util.SystemTime,0,0,0,0,0,0,0,0,0,0,1,[  gmtCurrentTimeMillis ],0,[  ]
org.mr.kernel.delivery.PostOffice,org.mr.core.protocol.MantaBusMessage,0,0,0,1,1,0,0,0,1,0,2,[  isLazyParsing getInstance ],22,[  getMessageType setSource setPayloadContainer getDeliveryCount setValidUntil getValidUntil setDeliveryCount setDeliveryMode setMessageMD5 getRecipient setMessageType getMessageIdAsLong getPayloadContainer getMessageId setRecipient getSource getElements setMessagesId getPriority getDeliveryMode setPartialMD5 setPriority ]
org.mr.core.persistent.file.FatFileViewer,org.mr.core.persistent.file.MantaFatFile,0,0,0,0,0,0,1,1,0,0,0,[  ],5,[  getFileInFatCount load getCurrentFileSize getAssignedClusterCount getFileList ]
org.mr.kernel.IncomingMessageListener,org.mr.core.protocol.MantaBusMessage,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
org.mr.MantaAgent,org.mr.core.util.SystemTime,0,0,0,0,0,0,0,0,0,0,3,[  init currentTimeMillis gmtCurrentTimeMillis ],0,[  ]
org.mr.api.jms.selector.parser.SelectorLexer,antlr.collections.impl.BitSet,1,0,0,0,0,0,1,1,0,0,0,[  ],1,[  member ]
org.mr.core.net.TransportProvider,org.mr.indexing.WBManager,0,0,0,0,0,0,0,0,1,0,0,[  ],1,[  getIRSTransportImpl ]
org.mr.api.jms.MantaConnectionConsumer$IMessageTopicListenerWrapper,javax.jms.MessageListener,1,0,0,1,0,0,0,1,0,0,0,[  ],1,[  onMessage ]
org.mr.core.net.MantaSSLFactory,javax.net.ssl.SSLContext,1,0,0,0,0,0,0,0,1,0,1,[  getInstance ],3,[  getServerSocketFactory getSocketFactory init ]
org.mr.core.util.xml.sax.QueueContentHandler$StartDocument,org.mr.core.util.xml.sax.QueueContentHandler$SaxEvent,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.kernel.control.ControlSignalMessageSender,org.mr.kernel.services.MantaService,0,0,0,0,0,0,0,0,1,0,0,[  ],2,[  isServiceUpdated setServiceUpdated ]
org.mr.core.stats.StatManager$2,org.mr.core.stats.StatManager,0,0,0,0,1,0,0,1,1,0,3,[  access$700 access$600 access$500 ],0,[  ]
org.mr.MantaAgent,org.mr.kernel.services.queues.QueueMaster,0,0,0,0,0,0,0,0,1,1,0,[  ],4,[  setValidUntil getValidUntil getId getAgentName ]
org.mr.api.simple.SimpleAPI,org.mr.api.simple.Consumer,0,0,0,1,0,0,1,0,0,0,0,[  ],0,[  ]
org.mr.kernel.services.ServiceActorStatusListener,org.mr.kernel.services.ServiceConsumer,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
org.mr.indexing.WBManager,org.mr.SingletonRepository,0,0,0,0,0,0,0,0,1,0,0,[  ],4,[  getNetworkManager getConfigManager getWorldModeler getServiceActorControlCenter ]
org.mr.api.jms.MantaConnectionFactory,javax.naming.Referenceable,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.core.util.xml.sax.MultiplexerContentHandler,org.xml.sax.InputSource,1,0,0,1,0,0,0,0,1,0,0,[  ],0,[  ]
org.mr.core.util.xml.sax.SAXManipulator,org.xml.sax.ContentHandler,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.api.jms.MantaConnectionConsumer,org.mr.api.jms.MantaObjectMessage,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.mr.SingletonRepository,org.mr.kernel.services.queues.QueueServiceFactory,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
org.mr.core.net.TransportInfo,java.net.InetAddress,1,0,0,1,1,0,0,0,1,1,1,[  getByAddress ],2,[  getAddress getHostAddress ]
org.mr.MantaAgent,org.mr.kernel.world.WorldModelerLoader,0,0,0,0,0,0,0,0,0,0,2,[  init load ],0,[  ]
org.mr.api.jms.MantaTopic,org.mr.core.util.byteable.ByteableRegistry,0,0,0,0,0,0,0,0,0,0,1,[  registerByteableFactory ],0,[  ]
org.mr.MantaAgent,org.mr.kernel.services.ServiceRecallShutdownHook,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.mr.api.jms.MantaConnectionConsumer$IMessageQueueListenerWrapper,org.mr.api.jms.MantaConnectionConsumer,0,0,0,0,1,0,0,1,1,0,0,[  ],0,[  ]
org.mr.core.net.NetworkSelector,org.mr.core.net.NetworkSelector$4,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.mr.core.net.CNLMessage,org.mr.core.util.byteable.NetOutByteBufferPool,0,0,0,0,0,0,0,0,1,0,1,[  getInstance ],2,[  getBuffer release ]
org.mr.kernel.world.WorldModelerXMLUtils,org.mr.kernel.world.WorldModeler,0,0,0,0,1,0,0,0,1,0,0,[  ],2,[  getVersion getDomains ]
org.mr.core.util.xml.sax.QueueContentHandler$EndPrefixMapping,org.xml.sax.ContentHandler,1,0,0,0,1,0,0,0,1,0,0,[  ],1,[  endPrefixMapping ]
org.mr.api.rmi.thin.ThinRMIMantarayImpl,org.mr.kernel.services.MantaService,0,0,0,0,0,0,0,0,1,1,0,[  ],2,[  getServiceName getServiceType ]
org.mr.api.jms.MantaObjectMessage,org.mr.core.util.byteable.ByteableOutputStream,0,0,0,0,1,0,0,0,1,0,0,[  ],3,[  writeInt flush write ]
org.mr.MantaStandAlone,org.mr.MantaAgent,0,0,0,0,0,0,0,1,0,0,1,[  getInstance ],1,[  init ]
org.mr.kernel.dmf.StartupDMF,org.mr.kernel.dmf.StartupDMF$1,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.mr.kernel.services.queues.VirtualQueuesManager,org.mr.SingletonRepository,0,0,0,0,0,0,0,0,1,0,0,[  ],3,[  getConfigManager getDelayedMessageSender getWorldModeler ]
org.mr.core.util.byteable.ByteableRegistry,org.mr.indexing.messages.AgentRoleChanged,0,0,0,0,0,0,0,0,0,0,1,[  register ],0,[  ]
org.mr.api.jms.MantaObjectMessage,org.mr.core.util.byteable.ByteableRegistry,0,0,0,0,0,0,0,0,0,0,1,[  registerByteableFactory ],0,[  ]
org.mr.core.net.TransportProvider,org.mr.core.net.TCPTransportImpl,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.mr.kernel.BlockingMessageListener,org.mr.IMessageListener,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.kernel.services.queues.VirtualQueuesManager,org.mr.kernel.services.ServiceProducer,0,0,0,0,1,0,0,0,1,1,0,[  ],4,[  getServiceName getId getAgentName getDomainName ]
org.mr.api.jms.selector.syntax.TypeMismatchException,org.mr.api.jms.selector.syntax.SelectorException,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.api.jms.MantaXAResource,org.apache.commons.logging.LogFactory,1,0,0,0,0,0,0,0,0,0,1,[  getLog ],0,[  ]
org.mr.core.util.byteable.ByteableRegistry,org.mr.api.jms.MantaBytesMessage,0,0,0,0,0,0,0,0,0,0,1,[  register ],0,[  ]
org.mr.api.jms.selector.syntax.Or,org.mr.api.jms.selector.syntax.Expression,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  evaluate ]
org.mr.core.net.SSLTransportImpl$3,org.mr.core.net.CNLMessage,0,0,0,0,1,0,0,1,1,0,0,[  ],0,[  ]
org.mr.api.jms.selector.parser.SelectorLexer,antlr.TokenStreamIOException,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.mr.api.jms.MantaSession,org.mr.api.jms.MantaBytesMessage,0,0,0,0,0,0,1,0,1,0,0,[  ],1,[  writeByte ]
org.mr.core.persistent.file.MantaFatFile,org.mr.core.persistent.PersistentConst,0,0,0,0,0,0,0,0,0,0,1,[  getPersistentByteBufferPool ],0,[  ]
org.mr.kernel.delivery.PostOffice,org.mr.core.net.MantaAddress,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.mr.core.cmc.GarbageCollectionJMX,org.apache.commons.logging.LogFactory,1,0,0,0,0,0,0,0,0,0,1,[  getLog ],0,[  ]
org.mr.core.net.TCPTransportImpl,java.nio.ByteBuffer,1,0,0,0,0,0,0,1,1,0,1,[  allocate ],5,[  hasRemaining clear limit flip remaining ]
org.mr.api.rmi.thin.ThinRMIJMSImpl,javax.jms.TextMessage,1,0,0,0,0,0,0,0,1,1,0,[  ],2,[  getText setText ]
org.mr.core.net.TCPTransportImpl,java.net.Socket,1,0,0,0,0,0,0,0,1,0,0,[  ],4,[  bind getLocalSocketAddress setTcpNoDelay getRemoteSocketAddress ]
org.mr.core.net.messages.NetworkMessage,org.mr.core.net.messages.NetworkMessageHandler,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  handleNetMessageID ]
org.mr.core.persistent.file.MantaFatFile,org.mr.core.persistent.file.MantaFileManager,0,0,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.core.stats.cmc.GetStatsJMX,org.apache.commons.logging.Log,1,0,0,0,0,0,0,1,0,0,0,[  ],0,[  ]
org.mr.api.jms.selector.syntax.UnaryOperator,org.mr.api.jms.selector.syntax.Operator,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.api.simple.Producer,javax.jms.QueueConnectionFactory,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  createQueueConnection ]
org.mr.api.simple.Producer,org.mr.api.simple.SimpleException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.mr.core.configuration.ConfigManager,javax.management.StandardMBean,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
